公司名称,城市,营业收入,利润,上市日期,行业分类,产品类型
南京化学试剂股份有限公司,南京市,4.37亿,9158.00万,2015-08-06,化学试剂和助剂制造,试剂、催化剂及助剂、定制化学品、药用辅料
深圳市泰久信息系统股份有限公司,深圳市,9660.90万,328.25万,2015-08-17,互联网信息服务,技术服务、软件销售、硬件销售、票务代理
湖北万星面业股份有限公司,黄冈市,--,--,2015-07-31,米、面制品制造,挂面、麦麸、尾粉、油、面粉、大米
超凡知识产权服务股份有限公司,成都市,5.24亿,3826.28万,2015-08-13,知识产权服务,商标业务、专利业务、咨询业务
内蒙古一机集团宏远电器股份有限公司,包头市,5.43亿,5482.55万,2015-07-31,其他未列明制造业,军品照明杂项类、军品控制盒类、军品线缆类、民品缸泵、民品电缆
江苏达诺尔科技股份有限公司,苏州市,1.11亿,3073.49万,2015-08-17,其他专用化学产品制造,超纯氨水、超纯异丙醇
浙江天晟建材股份有限公司,金华市,3.50亿,489.44万,2015-08-11,砼结构构件制造,水泥钢筋混凝土桥梁构件、建筑装配式预制构件
苏州灵岩医疗科技股份有限公司,苏州市,2804.15万,106.15万,2015-08-11,医疗诊断、监护及治疗设备制造,一次性使用留置针、麻醉包、输注泵、一次性使用真空采血管、一次性使用注射针、注射针管、套管针
浙江宏业高科智能装备股份有限公司,台州市,1.48亿,33.53万,2015-08-17,农林牧渔机械配件制造,齿轮箱、柱塞泵及配件、铸件、锻件、机械设备及配件
杭州仁盈科技股份有限公司,杭州市,541.74万,16.99万,2015-08-10,其他互联网服务,机器人业务、技术咨询服务、测温一体机、智能垃圾分类亭、智慧社区
广东佳科风机股份有限公司,佛山市,3666.14万,-143.72万,2015-08-11,风机、风扇制造,轨道产品风机
深圳市百事达卓越科技股份有限公司,深圳市,1.43亿,1924.18万,2015-08-11,其他塑料制品制造,改性、配色热塑性弹性体材料销售、热塑性弹性体材料销售、非开挖油罐改造、防疫物资用品
杭州博采网络科技股份有限公司,杭州市,19.28亿,1.09亿,2015-08-07,其他互联网服务,互联网定制化技术开发服务、移动广告、数据营销服务
北京中科灵瑞生物技术股份有限公司,北京市,1.76亿,2.65亿,2015-08-18,医学研究和试验发展,销售实验动物、动物实验服务、实验动物寄养
唐山摆渡融创信息服务股份有限公司,唐山市,17.06万,-165.36万,2015-09-24,其他互联网服务,咨询服务、产品销售
杭州市临安区兆丰小额贷款股份有限公司,杭州市,4290.54万,2581.94万,2015-08-11,其他非货币银行服务,小额贷款业务
江西赣南海欣药业股份有限公司,赣州市,5.96亿,2665.35万,2015-08-13,化学药品制剂制造,口服溶液产品、粉针产品、中小针剂产品
大连捷瑞流体控制股份有限公司,大连市,5112.78万,146.07万,2015-08-14,液压和气压动力机械及元件制造,接头类、总成类、工程服务
安徽翼迈科技股份有限公司,合肥市,3376.10万,152.79万,2015-08-10,供应用仪表及其他通用仪器制造,水表
东莞汇乐环保股份有限公司,东莞市,--,--,2015-08-25,环境保护专用设备制造,工业集尘器、工业吸尘器、焊烟净化器、油雾净化器、隔爆阀、无焰泄爆装置、火花探测器、技术服务
深圳市九叶科技股份有限公司,深圳市,41.27万,-36.61万,2015-08-14,互联网信息服务,疯狂召集令平台、九叶网/家园、蒙台梭利培训、蒙幼教育指导、九叶儿童之家管理费
浙江优森软件股份有限公司,绍兴市,188.03万,-64.98万,2015-08-11,其他互联网服务,电脑及配件、农资、租金
重庆软汇科技股份有限公司,重庆市,325.24万,-75.03万,2015-08-10,软件开发,一体机、技术服务费
上海艾为电子技术股份有限公司,上海市,23.27亿,2.88亿,2015-08-10,集成电路制造,音频功放芯片、电源管理芯片、射频前端芯片、马达驱动芯片电子芯片
苏州基业生态园林股份有限公司,苏州市,2.02亿,1198.73万,2015-08-10,其他土木工程建筑,工程、设计、服务、农产品销售
保定唐北电瓷电器股份有限公司,保定市,2003.68万,-1306.26万,2015-08-18,绝缘制品制造,瓷绝缘子、复合绝缘子、电力设备、电力系统服务、电力系统施工
山东赛特新材料股份有限公司,淄博市,1084.58万,-2301.47万,2015-08-14,其他纸制品制造,卫生用品、家居用品
湖南达美程智能科技股份有限公司,长沙市,--,--,2015-08-11,包装装潢及其他印刷,电子、通信与自动控制技术研发、智能化技术研发、软件开发、书、报刊印刷、包装装潢印刷品印刷、其他印刷品印刷
河南博元电力科技股份有限公司,郑州市,1.51亿,120.55万,2015-08-07,电气安装,承装修试业务、电力设备、电力设计业务、租赁费
中国电子进出口国际电子服务股份有限公司,北京市,1.03亿,-1822.23万,2015-08-18,其他未列明批发业,自营进口、自营出口、代理进口手续费、保税物流服务、货运代理服务、国内贸易
成都欧康医药股份有限公司,成都市,3.01亿,4176.46万,2015-08-18,生物药品制造,槐米系列、枳实系列、综合系列
海宁鸿丰小额贷款股份有限公司,嘉兴市,8903.77万,5050.36万,2015-08-06,其他非货币银行服务,小额贷款业务
成都美创医疗科技股份有限公司,成都市,--,--,2015-08-18,医疗诊断、监护及治疗设备制造,低温等离子体手术系统、一次性射频等离子体手术电极(治疗刀头)
广东森维园林股份有限公司,广州市,--,--,2015-08-19,其他土木工程建筑,工程施工、设计合同、产品销售
湖北晨科农牧集团股份有限公司,黄冈市,14.60亿,2001.12万,2015-08-07,饲料加工,饲料销售、鸡蛋及青年鸡销售、生猪销售、饲料贸易及运输服务
浙江弛达信息科技股份有限公司,杭州市,8.95万,-129.11万,2015-08-17,邮政专用机械及器材制造,智能物流柜
北京鲁视领航文化传媒股份有限公司,北京市,2053.29万,-1642.84万,2015-08-10,电影和影视节目制作,课程及配套销售、托育服务、研学及线下培训服务、在线考试及技术服务、内容制作、经营性房屋转租
湖北龙辰科技股份有限公司,黄冈市,2.52亿,4573.87万,2015-08-10,电子元件及组件制造,基膜、金属基膜、塑料粒子、租赁
江苏骏环昇旺科技产业股份有限公司,南京市,2541.92万,-969.79万,2015-08-17,软件开发,跨行业平台、出入境系统、RFID项目、移动互联、信息服务
湖南华望科技股份有限公司,长沙市,4054.50万,108.70万,2015-08-19,纸和纸板容器制造,卫生棺、工业包装盒
北京澳佳生态农业股份有限公司,北京市,1.88亿,844.89万,2015-08-13,复混肥料制造,腐植酸螯合肥、特肥
北京中景橙石科技股份有限公司,北京市,2.48亿,3449.60万,2015-08-19,建筑装饰业,建筑装饰、材料销售、设计及技术服务
杭州东忠科技股份有限公司,杭州市,9660.38万,-3514.35万,2015-08-28,软件开发,ITO、BPO、培训、数模设计、软件服务、商品销售、汽车服务
西部电缆股份有限公司,西安市,7.77亿,6708.72万,2015-08-13,电线、电缆制造,电力电缆、特种电缆
厦门永华光电科技股份有限公司,厦门市,2738.11万,16.83万,2015-09-18,照明灯具制造,产品、工程
福建万辰生物科技股份有限公司,漳州市,4.26亿,2427.92万,2015-08-18,食用菌种植,食用菌
江苏奥神新材料股份有限公司,连云港市,8445.58万,83.08万,2015-08-17,其他合成纤维制造,聚酰亚胺制品、聚酰亚胺纤维
万承志堂中医药股份有限公司,杭州市,1.95亿,2409.93万,2015-08-13,门诊部（所）,中西医综合诊疗业务、养生保健产品
云南润杰农业科技股份有限公司,昆明市,2.03亿,653.32万,2015-08-18,复混肥料制造,农药、化肥
云南生物谷药业股份有限公司,昆明市,5.66亿,8348.53万,2020-07-27,中成药生产,灯盏生脉胶囊、灯盏细辛注射液、灯盏花素片、灯盏细辛胶囊、灯盏花滴丸
保定津海服装股份有限公司,保定市,4277.57万,41.95万,2015-08-20,机织服装制造,马甲、西服、裤子、套服
成都华美牙科连锁管理股份有限公司,成都市,1.14亿,584.09万,2015-09-10,门诊部（所）,牙科医疗服务、牙科产品销售、牙科品牌管理
吉林省金塔实业(集团)股份有限公司,白城市,--,--,2015-08-18,蔬菜加工,辣椒初级制品、中级营养产品、高级提取物、种子、葵花盘果粉
山东蓝思种业股份有限公司,日照市,--,--,2015-08-11,猪的饲养,大白（大约克夏）猪、杜洛克猪、长白猪（原种）、巴克夏（原种）、生猪育种技术开发、技术咨询
深圳市神拓机电股份有限公司,深圳市,--,--,2015-08-13,矿山机械制造,机电设备、电控系统、阀类
广州丽晶软件科技股份有限公司,广州市,5005.57万,-1343.59万,2015-08-10,软件开发,软件、服务、硬件
辽宁北旺农牧股份公司,锦州市,--,--,2015-08-20,牲畜屠宰,生猪养殖、屠宰分割、肉制品
广东三求光固材料股份有限公司,肇庆市,8868.79万,1095.49万,2015-08-18,其他专用化学产品制造,光固材料、感光材料、热固化材料、原材料
浙江万享科技股份有限公司,湖州市,--,--,2015-08-13,制冷、空调设备制造,冷凝器、压力容器、冷却塔、配件
吉林派诺生物技术股份有限公司,长春市,138.66万,-4268.03万,2015-08-13,其他未列明农副食品加工,松子油、松子酒、松子油胶丸、日化产品、微囊粉
康达新能源设备股份有限公司,东莞市,4.66亿,-92.18万,2015-08-14,发电机及发电机组制造,燃气发电机组、燃油发电机组、零配件及服务、太阳能光热发电配套设备、电力
无锡灵鸽机械科技股份有限公司,无锡市,2.10亿,1859.28万,2015-08-17,其他通用设备制造业,锂电池双螺杆连续匀浆智能合浆系统、锂电正负极自动化产线、智能微量配料系统、自动配混输送系统、失重称/切粒机（单机）、双行星搅拌机、配件服务、房租及水电
大连环球矿产股份有限公司,大连市,7998.07万,1356.75万,2015-08-20,其他非金属矿物制品制造,复合产品、新材料产品、基础材料产品
深圳市海斯比海洋科技股份有限公司,深圳市,1.68亿,33.48万,2015-08-28,非金属船舶制造,船艇、智能船艇及系统、浮岛、海事产品
江苏银珠集团海拜科技股份有限公司,淮安市,1.14亿,689.38万,2015-08-26,其他专用化学产品制造,氯乙烷
东莞市瑞立达玻璃盖板科技股份有限公司,东莞市,6.09亿,652.89万,2015-08-27,光电子器件及其他电子器件制造,IPAD玻璃视窗、手机玻璃视窗
上海悦高软件股份有限公司,上海市,270.24万,-268.17万,2015-08-17,软件开发,定制软件、技术服务
福建利树股份有限公司,南平市,2.29亿,-8886.34万,2015-08-12,机制纸及纸板制造,瓦楞芯纸、瓦楞面纸
浙江亚迪纳新材料科技股份有限公司,嘉兴市,8763.95万,1514.58万,2015-08-10,化学试剂和助剂制造,三聚氰胺树脂、三聚氰胺泡沫塑料
四川省羌山生物科技股份有限公司,绵阳市,2.60亿,-1318.02万,2015-09-02,猪的饲养,生猪销售、猪肉及其制品直营、其他产品直营、猪肉及其制品经销
云南恒光科技股份有限公司,昆明市,2801.27万,8.71万,2015-08-17,电气设备批发,一般贸易、技术维护、技术服务
宁夏万仕隆冷冻科技股份有限公司,银川市,3420.34万,-354.19万,2015-08-12,制冷、空调设备制造,工程施工、维修、材料销售、租赁业务
北京六行君通信息科技股份有限公司,北京市,234.57万,-708.24万,2015-08-18,社会经济咨询,贷款咨询服务、话务服务、机器人服务、机器人话费充值
广东同汇科技股份有限公司,广州市,222.34万,-693.04万,2015-08-14,其他饮料及冷饮服务,原料及配套设备设施、品牌管理服务、品牌创业整体解决方案服务、餐饮零售
河南德威科技股份有限公司,许昌市,1.59亿,-4166.18万,2015-08-20,有色金属合金制造,铝合金材、镁锭、镁轮毂、锌锭
成都仁新科技股份有限公司,成都市,2.69亿,5568.10万,2015-08-12,金属废料和碎屑加工处理,电子废弃物拆解设备制造业、电子废弃物拆解业
北京中诚昊天科技股份有限公司,北京市,--,--,2015-08-26,信息系统集成服务,硬件产品销售业务、信息系统集成业务、技术服务业务
广州石头造环保科技股份有限公司,广州市,--,--,2015-12-15,初级形态塑料及合成树脂制造,石塑母粒、石塑环保袋、石塑流延膜、石塑箱、其他
深圳市宏商材料科技股份有限公司,深圳市,2.14亿,1478.14万,2015-08-21,核辐射加工,热缩材料
深圳市图敏智能视频股份有限公司,深圳市,3428.91万,140.05万,2015-08-25,通信系统设备制造,车载智能视频监控系统、电子站牌系统、维修及技术服务
北京比酷天地文化股份有限公司,北京市,2.08亿,3440.61万,2015-08-11,广告业,数字内容整合营销、媒体代理
广东启迪图卫科技股份有限公司,广州市,508.37万,-2498.73万,2015-09-16,其他计算机制造,监控设备销售、工程安装服务
武汉迪赛环保新材料股份有限公司,鄂州市,5951.11万,1110.27万,2015-08-13,涂料制造,光油、钝化剂、防腐漆
华晟世纪教育科技(北京)股份有限公司,北京市,--,--,2015-08-19,其他未列明商务服务业,企业培训、教育咨询、活动策划
深圳市爱夫卡科技股份有限公司,深圳市,7383.98万,450.81万,2015-08-13,交通安全、管制及类似专用设备制造,汽车诊断仪、T-BOX车载数据终端、尿素泵试验台、定位仪、激光打印
山西多尔晋泽煤机股份有限公司,太原市,1.80亿,1620.76万,2015-08-18,矿山机械制造,煤机配件销售、煤机加工、技术开发服务
江苏科雷斯普能源科技股份有限公司,常州市,3024.25万,-1024.95万,2015-08-18,其他未列明专业技术服务业,润滑油、过滤器、智能油品远程监测系统、齿轮箱业务
西安摩尔石油工程实验室股份有限公司,西安市,1.06亿,3304.79万,2015-08-13,其他未列明专业技术服务业,试验检测及应用研究服务、设备监造及现场检验服务
北京康爱瑞浩生物科技股份有限公司,北京市,--,--,2015-08-31,生物技术推广服务,技术服务、健康检测服务、商品销售
山东胜软科技股份有限公司,东营市,3.71亿,3745.45万,2015-08-14,信息系统集成服务,软件开发及服务、自主软件销售及服务、系统集成及服务、运维服务、软件代理及服务
奥美森智能装备股份有限公司,中山市,3.08亿,4526.14万,2015-08-14,其他专用设备制造,换热器生产智能设备、管路加工智能设备、其他定制智能设备
贵州省交通科学研究院股份有限公司,贵阳市,1.11亿,300.93万,2015-08-17,工程勘察设计,监理业务、设计业务、检测业务、环保业务、GPS销售及服务业务、项目管理、咨询业务
江苏中标节能科技发展股份有限公司,苏州市,946.77万,-3.98万,2015-08-25,照明灯具制造,产品销售、工程施工、房屋租赁、电费
上海威贸电子股份有限公司,上海市,2.22亿,3369.43万,2022-02-23,其他电子设备制造,智能家电组件、工业自动化组件、POS机与计量衡器线束组件、汽车/新能源汽车组件、大型印刷机组件、高铁组件、净水环保组件、医疗设备组件、智能家电注塑集成件、衡器量具注塑件、汽车注塑件
四川三元环境治理股份有限公司,成都市,8400.83万,89.50万,2015-08-11,其他污染治理,降噪服务、设计、咨询和技术开发
山西鼎隆智装科技股份有限公司,太原市,1.46亿,1628.14万,2015-08-26,建筑装饰业,智装、研发定制、新材料、现代服务、租赁
中奥汇成科技股份有限公司,北京市,442.48万,-2557.19万,2015-08-19,其他未列明专业技术服务业,髋关节镀膜球头
深圳崇德动漫股份有限公司,深圳市,2696.57万,614.09万,2015-08-19,电影和影视节目制作,动漫衍生产品、培训费、授权
浙江瑞虹机电股份有限公司,湖州市,8662.41万,1048.15万,2015-08-21,汽车零部件及配件制造,汽车空调压缩机离合器线圈壳体
山西大地民基生态环境股份有限公司,太原市,--,--,2015-08-31,其他自然保护,生态修复、园林绿化、规划设计
上海利隆新媒体股份有限公司,上海市,--,--,2015-09-21,广告业,路演营销、集装箱酒店及房车
广东宝德利新材料科技股份有限公司,江门市,--,--,2015-09-10,塑料薄膜制造,污染物包装、日用消费品
深圳市朗尼科智能股份有限公司,深圳市,815.50万,-4390.46万,2015-08-28,信息系统集成服务,智慧城市、智慧政务、智慧停车管理系统
运鹏(上海)供应链股份有限公司,上海市,2.68亿,2672.03万,2015-08-20,货物运输代理,货物运输业务、不锈钢膜及其配套装置的销售业务
浙江衢州东方集团股份有限公司,衢州市,12.80亿,5369.27万,2015-08-28,超级市场零售,酒店业、商品销售、物业管理、旅游业、商贸服务、租赁、委贷利息
上海童石网络科技股份有限公司,上海市,--,--,2015-08-31,互联网信息服务,IP运营
深圳深爱半导体股份有限公司,深圳市,7.57亿,1.18亿,2015-08-28,半导体分立器件制造,成品、芯片
安徽源和堂药业股份有限公司,亳州市,--,--,2015-09-02,中药饮片加工,中药饮片、中成药、中药材
山西宏安翔科技股份有限公司,运城市,2200.02万,-195.12万,2015-09-01,矿山机械制造,顶板压力监测系统
长江绿海环境工程股份有限公司,昆明市,--,--,2015-08-28,其他土木工程建筑,工程建设、工程设计
河南漯效王生物科技股份有限公司,漯河市,5290.34万,1078.31万,2015-08-28,有机肥料及微生物肥料制造,有机水溶肥料、生物有机肥、微生物菌剂、复混肥、种子
深圳康普盾科技股份有限公司,深圳市,1.68亿,-4011.50万,2015-10-08,其他未列明电气机械及器材制造,网络能源产品、智能换电产品、智能锂电产品
江西安智物流股份有限公司,萍乡市,5.90亿,1205.27万,2015-08-27,非金属矿及制品批发,第三方物流、供应链采购、信息技术服务
湖北展朋新材料股份有限公司,仙桃市,--,--,2015-09-01,专项化学用品制造,碳酸钡、二氧化钛
福建国德科技股份有限公司,福州市,4334.49万,-296.07万,2015-09-09,其他未列明建筑业,医疗专业工程、医疗器械及商、品销售、维修保养服务、设计服务
建成工程咨询股份有限公司,广州市,2.91亿,2286.27万,2015-08-27,工程管理服务,造价咨询、招标代理、工程监理
三门峡速达交通节能科技股份有限公司,三门峡市,2716.66万,-3314.97万,2015-08-28,汽车零部件及配件制造,W驱动系统总成、一体式直流充电桩、技术服务、金刚系统7KW交流桩、W无线运营版、充电、家庭版7KW交流桩
烟台民士达特种纸业股份有限公司,烟台市,2.18亿,3727.99万,2015-09-09,机制纸及纸板制造,芳纶纸
江苏帕卓管路系统股份有限公司,常州市,8009.38万,423.50万,2015-08-26,橡胶板、管、带制造,胶管、总成
亚虎(福建)生物工程股份有限公司,福州市,0.0000,-98.25万,2015-08-24,金属及金属矿批发,餐饮业、保健食品
北京香哈网络股份有限公司,北京市,3301.90万,1696.60万,2015-09-15,互联网信息服务,广告业务、软件开发、授权业务、电子商务、增值服务、餐饮业务
上海众引文化传播股份有限公司,上海市,--,--,2015-08-26,其他未列明商务服务业,网络媒体投放、数字整合营销、活动营销、营销贸易
南宁飞日润滑科技股份有限公司,南宁市,--,--,2015-09-18,原油加工及石油制品制造,非摩擦领域类润滑油、工业设备润滑油、农业产业领域润滑油、车用润滑油
深圳亚华医美科技股份有限公司,深圳市,544.42万,-675.12万,2015-08-27,其他专业咨询,教育培训、校企合作
青岛伊森新材料股份有限公司,青岛市,1.08亿,915.84万,2015-09-14,初级形态塑料及合成树脂制造,固体、液体
四川自贡百味斋食品股份有限公司,自贡市,--,--,2015-08-25,其他调味品、发酵制品制造,调味酱料、调味油汁、调味干货、调味休闲菜
苏州帝瀚环保科技股份有限公司,苏州市,5126.09万,207.73万,2015-08-26,环境保护专用设备制造,过滤系统、压块系统、水处理系统、软件、售后、材料
广州凡拓数字创意科技股份有限公司,广州市,7.14亿,6934.12万,2015-09-01,数字内容服务,静态数字创意服务、动态数字创意服务、数字展示及系统集成服务
北京福藏科技股份有限公司,北京市,92.82万,-19.59万,2015-08-31,互联网信息服务,游戏运营服务
沈阳金利洁环保科技股份有限公司,沈阳市,48.15万,-122.96万,2015-09-25,环境保护专用设备制造,污水一体化设备
安徽康海时代科技股份有限公司,芜湖市,778.98万,-23.78万,2015-09-14,通信系统设备制造,物联网通信领域串口通讯设备、网络通信产品、物联网通信解决方案
深圳市穗晶光电股份有限公司,深圳市,4.79亿,5475.95万,2015-09-17,光电子器件及其他电子器件制造,LED背光器件、背光灯条模组、LED闪光灯、车用LED、LED指示器件
成都新能电庄科技股份有限公司,成都市,--,--,2015-09-09,软件开发,企业级移动应用、数据整合应用产品
先控捷联电气股份有限公司,石家庄市,1.47亿,722.08万,2015-09-09,其他电子设备制造,不间断电源机房数据中心产品、岸电电源产品、充电桩产品、维修及技术服务、机柜产品
华维设计集团股份有限公司,南昌市,1.81亿,5694.32万,2021-02-05,工程勘察设计,市政勘察设计、建筑勘察设计、规划咨询、工程总承包
江苏江大源生态生物科技股份有限公司,镇江市,3713.01万,684.55万,2015-08-28,保健食品制造,软胶囊、硬胶囊、提取物
北京康比特体育科技股份有限公司,北京市,4.90亿,4473.56万,2015-08-28,其他未列明食品制造,运动营养食品、健康营养食品、受托加工业务、数字化体育科技服务
江苏八达科技股份有限公司,无锡市,1.18亿,1599.73万,2015-08-25,水污染治理,环保设备产销运维业务、技术合作服务
上海国瑞环保科技股份有限公司,上海市,6482.26万,586.86万,2015-09-10,节能技术推广服务,合同能源管理服务、设备、工程
贵州天保生态股份有限公司,贵阳市,--,--,2015-08-28,工程勘察设计,工程咨询
中山博锐斯新材料股份有限公司,中山市,2.51亿,1288.89万,2015-08-24,塑料薄膜制造,呼吸性薄膜、流延膜
南京领先环保技术股份有限公司,南京市,--,--,2015-09-07,水污染治理,水生态修复设备、生态水体治理工程施工服务、生态水体治理设计、研究服务
南京新鸿运物业管理股份有限公司,南京市,4.97亿,2597.22万,2015-09-01,物业管理,住宅项目、行政企事业单位项目、公共场馆
佛山市斯派力管业科技股份有限公司,佛山市,--,--,2015-09-01,金属结构制造,复合铝管、无复合铝管、集流管
江苏铁科新材料股份有限公司,镇江市,2.44亿,7755.81万,2015-08-25,其他橡胶制品制造,高分子复合材料制品、工程塑料制品、橡胶制品
宁夏皇达生物科技股份有限公司,固原市,1679.99万,52.94万,2015-09-16,林木育苗,香荚蒾、丝绵卫矛、天目琼花、云杉、紫叶稠李、紫叶矮樱、黑果花楸、水栒子、景观园林绿化与生态系统修复的花灌木、林木种苗的引种驯化、培育繁殖及销售业务、苗木市场经营管理、绿化养护业务、绿化工程业务
昆山华恒焊接股份有限公司,苏州市,8.94亿,8317.40万,2015-08-25,其他专用设备制造,焊接机器人成套设备、焊接自动化专用设备、全位置管焊设备、切割自动化设备、物流仓储智能化设备
璧合科技股份有限公司,北京市,--,--,2015-08-31,广告业,广告发布、SAAS软件
江苏永创医药科技股份有限公司,淮安市,1.95亿,3775.04万,2015-08-31,专项化学用品制造,"溴-5氟-三氟甲苯、4-二氯-3,5-二硝基三氟甲苯、对三氟甲硫基苯酚、硝基-5-羟基三氟甲苯"
河南同心传动股份有限公司,许昌市,1.32亿,2380.69万,2021-11-15,汽车零部件及配件制造,汽车传动轴、机械配件
大连汇隆活塞股份有限公司,大连市,1.26亿,3452.32万,2015-09-07,内燃机及配件制造,船用内燃机活塞、铁路内燃机活塞、天然气压缩机活塞、内燃机缸套
浙江云朵网科技股份有限公司,宁波市,5094.79万,810.14万,2015-09-24,软件开发,云计算服务、数据服务、非IT类服务、硬件、展览及活动
悦为(浙江)供应链管理股份有限公司,金华市,4.66亿,5915.00万,2015-09-07,其他互联网服务,自营、服务
甘肃华瑞农业股份有限公司,张掖市,2.52亿,1498.79万,2015-09-01,牛的饲养,牛群、肉羊、鲜奶、玉米制种
苏州沪云新药研发股份有限公司,苏州市,0.0000,-5533.13万,2015-09-07,化学药品制剂制造,心脑血管药品、免疫类药品
特力惠信息科技股份有限公司,福州市,1.34亿,-4963.07万,2015-09-11,软件开发,定制软件开发与服务、软件运营维护服务、销售商品
浙江纳美新材料股份有限公司,湖州市,2.12亿,1361.21万,2015-09-01,其他专用化学产品制造,色浆、UV产品、导电剂、助剂
湖北双剑鼓风机股份有限公司,随州市,2.79亿,1283.18万,2015-08-31,风机、风扇制造,离心鼓风机、离心通风机
成都泰聚泰科技股份有限公司,成都市,1168.70万,159.00万,2015-10-21,软件开发,设备销售、软件销售、技术服务
新疆康润洁环保科技股份有限公司,乌鲁木齐市,-360.66万,-2075.33万,2015-09-10,塑料薄膜制造,农用降解地膜添加剂、农用地膜
上海博丹环境工程技术股份有限公司,上海市,--,--,2015-09-14,水污染治理,销售环保设备、环保工程、环保技术服务
广州点动信息科技股份有限公司,广州市,2.60亿,-2507.23万,2015-09-02,呼叫中心,联络中心运营服务、培训业务、新媒体运营、软件开发与销售
西安希德电子信息技术股份有限公司,西安市,1.30亿,207.46万,2015-09-18,雷达及配套设备制造,雷达与指控系统、检测设备与系统、无线通信与系统、导航与控制系统
侨益物流股份有限公司,广州市,16.46亿,8082.41万,2015-09-28,货物运输代理,第三方综合物流服务、储备粮业务
北京朗德金燕自动化装备股份有限公司,北京市,1.26亿,866.86万,2015-10-16,矿山机械制造,千斤顶、立柱、硐室、阀、配件、修理修配
巨立电梯股份有限公司,苏州市,4.20亿,-1436.54万,2015-09-01,电梯、自动扶梯及升降机制造,电梯销售、安装及保养、配件
北京能量影视传播股份有限公司,北京市,4171.74万,-7820.42万,2015-09-01,电影和影视节目制作,文旅行业、影视行业、商品销售
上海凯科管业科技股份有限公司,上海市,--,--,2015-09-02,其他未列明金属制品制造,管件
武汉万邦激光金刚石工具股份有限公司,武汉市,6488.58万,515.85万,2015-09-16,其他通用设备制造业,金刚石锯片、磨轮、钻头
成都市硕达科技股份有限公司,成都市,43.21万,-90.13万,2015-09-11,数字内容服务,手机报、智慧城市项目
广西锦绣前程人力资源股份有限公司,南宁市,24.17亿,588.29万,2015-09-01,劳务派遣服务,灵活用工、家政、护工、软件销售
东莞市林氏生物技术股份有限公司,东莞市,--,--,2015-09-21,饲料批发,国产鱼粉、进口鱼粉、农副产品
新疆美特智能安全工程股份有限公司,乌鲁木齐市,332.45万,-1665.88万,2015-09-11,信息系统集成服务,整体解决方案、软件设备销售及工程服务、维护服务、房屋出租
河北沧海核装备科技股份有限公司,沧州市,4.16亿,3178.63万,2015-11-10,金属结构制造,管件、法兰、压力容器、钢管
四川奇石缘科技股份有限公司,绵阳市,9226.55万,2293.88万,2015-09-10,其他仪器仪表制造业,道路计重类、土木工程类、科研类
河南中岳非晶新型材料股份有限公司,郑州市,6153.67万,-9655.66万,2015-09-24,其他输配电及控制设备制造,带材、107B纳米晶带材、非晶合金铁芯、三角铁芯、变压器、超微晶铁芯、共模电感、抗直流铁芯
北京世纪金政信息技术股份有限公司,北京市,4609.45万,18.59万,2015-09-10,软件开发,定制开发、维护费、软件销售、咨询培训
北京微瑞思创信息科技股份有限公司,北京市,2.32亿,1736.27万,2015-09-09,信息系统集成服务,智慧营销、数据分析、设计开发
黑龙江林海华安新材料股份有限公司,牡丹江市,3122.65万,-2298.57万,2015-09-02,塑料板、管、型材制造,UPVC塑料异型材、节能门窗、WPC木塑装饰材料
深圳小田冷链物流股份有限公司,深圳市,--,--,2015-10-14,道路货物运输,冷链物流配送、仓储
中国康富国际租赁股份有限公司,北京市,16.36亿,3.33亿,2015-09-09,其他机械与设备租赁,融资租赁服务、经营租赁服务、融资顾问服务
广州光大教育软件科技股份有限公司,广州市,--,--,2015-09-07,其他未列明信息技术服务业,教育类软件、教育服务、系统集成
联创投资集团股份有限公司,济南市,2595.48万,-9590.84万,2015-09-23,基金管理服务,管理费
上海花嫁丽舍婚庆股份有限公司,上海市,4.08亿,-5019.13万,2015-09-09,婚姻服务,婚庆礼仪服务
厦门骐俊物联科技股份有限公司,厦门市,2.00亿,-161.95万,2015-09-10,通信终端设备制造,无线通信模组及终端、无线通信软件及技术
深圳市美的连医疗电子股份有限公司,深圳市,1.62亿,4455.94万,2015-09-09,医疗诊断、监护及治疗设备制造,医疗器械产品、技术服务
湖北勤劳农夫生态农业股份有限公司,宜昌市,--,--,2015-09-09,其他水果种植,草莓种苗（一代二代）、草莓鲜果、草莓原种苗、捕食螨
浙江美安普矿山机械股份有限公司,衢州市,1.03亿,144.25万,2015-09-07,矿山机械制造,EPC项目、破碎机及其配件、贸易、破碎加工费
常州同惠电子股份有限公司,常州市,1.48亿,4185.68万,2021-01-11,电子测量仪器制造,绕线元件测试仪器、电气安规测试仪、元件参数测试仪、数字万用表、功率电子测试仪器、其他测试仪
湖州市中杰创意产业发展股份有限公司,湖州市,3307.30万,-1025.10万,2015-09-09,广告业,货物销售、装饰工程、综合服务、租赁
广西禾美生态农业股份有限公司,柳州市,2.44亿,1096.62万,2015-09-10,其他农业服务,生鲜蔬菜、生鲜肉类、鲜活蛋产品、粮油、农副产品
上海策源置业顾问股份有限公司,上海市,--,--,2015-09-09,房地产中介服务,新房代理销售、商办运营、咨询顾问服务
上海泉欣织造新材料股份有限公司,上海市,--,--,2015-09-22,机织服装制造,3D打印技术涉及到的羽绒面料、抗菌面料、抗菌口罩
